UNIQUE_NUMBER,SPECIES,DEER_SEX,ESTIMATED_BIRTH_DATE,HOW_ADDED,ADDED_DATE,SOURCE_FACILITY,HOW_REMOVED,REMOVED_DATE,DESTINATION_FID,DESTINATION_TYPE,REPORTED_DEATH_DATE,CAUSE_OF_DEATH,FACILITY_WHERE_DEAD,POSTMORT_TEST_RESULT,POSTMORT_SMPL_CLLCTN_DATE,POSTMORT_TISSUE_TYPE,ANTEMORT_TEST_RESULT,ANTEMORT_SMPL_CLLCTN_DATE,ANTEMORT_FCLTY_WHERE_TESTED,ANTEMORT_TISSUE_TYPE
01NH1,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NH3,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,5/12/2023,21965R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
01NH5,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,10/26/2022,17400B,B,12/19/2023,Culled for CWD Testing,17400B,Post-mortem Obex and RLN,12/19/2023,Obex and RLN Not Detected,,,,
01NH6,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/15/2023,23009R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
01NH7,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,11/26/2022,,,11/26/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,11/30/2022,Obex and RLN Not Detected,,,,
01NH8,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,5/15/2023,20487R,R,,,,,,,Ante-mortem Rectal,3/9/2023,10953B,Not detected
01NH9,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,10/18/2024,,,10/18/2024,Pneumonia,10953B,Post-mortem Obex and RLN,10/18/2024,Obex and RLN Not Detected,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NHB,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,11/29/2023,,,11/29/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,11/29/2023,Obex and RLN Not Detected,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NHC,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Transferred,10/18/2022,16166B,B,,,,,,,Ante-mortem Rectal,5/14/2024,16166B,Not detected
01NHF,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
