UNIQUE_NUMBER,SPECIES,DEER_SEX,ESTIMATED_BIRTH_DATE,HOW_ADDED,ADDED_DATE,SOURCE_FACILITY,HOW_REMOVED,REMOVED_DATE,DESTINATION_FID,DESTINATION_TYPE,REPORTED_DEATH_DATE,CAUSE_OF_DEATH,FACILITY_WHERE_DEAD,POSTMORT_TEST_RESULT,POSTMORT_SMPL_CLLCTN_DATE,POSTMORT_TISSUE_TYPE,ANTEMORT_TEST_RESULT,ANTEMORT_SMPL_CLLCTN_DATE,ANTEMORT_FCLTY_WHERE_TESTED,ANTEMORT_TISSUE_TYPE
0496Y,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/29/2024,24352R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
04970,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
04971,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/6/2024,20349R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
04972,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/31/2024,24571R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
04973,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
04974,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
04975,White-Tailed Deer,F,6/28/2023,Birth,6/28/2023,,Death,10/21/2024,,,10/21/2024,Pneumonia,10953B,Post-mortem Obex and RLN,10/21/2024,Obex and RLN Not Detected,,,,
04976,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
04977,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,3/8/2023,,,3/8/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/8/2023,Obex and RLN Not Detected,,,,
04978,White-Tailed Deer,F,6/30/2021,Birth,6/30/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
04979,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,1/4/2023,,,1/4/2023,Pneumonia,10953B,Post-mortem Obex and RLN,1/6/2023,Obex and RLN Not Detected,,,,
0497B,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
0497C,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
04C16,White-Tailed Deer,F,6/16/2021,Transferred,10/23/2021,10002B,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
04K7H,White-Tailed Deer,M,7/1/2021,Transferred,11/4/2021,13647B,Death,12/31/2022,,,12/31/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/6/2023,Obex and RLN Not Detected,,,,
062G7,White-Tailed Deer,M,6/12/2022,Transferred,4/10/2023,16645B,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
062GB,White-Tailed Deer,F,6/12/2022,Transferred,4/10/2023,16645B,Death,9/14/2023,,,9/14/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,9/14/2023,"Obex Location, RLN Not Detected",Ante-mortem Rectal,2/5/2023,16645B,Not detected
070R4,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,Death,10/9/2023,,,10/9/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,10/9/2023,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070R5,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070R6,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
070R7,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070R8,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070R9,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Death,12/11/2023,,,12/11/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,12/11/2023,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070RB,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070RC,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070RF,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070RG,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070RH,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070RJ,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
070RK,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
070RL,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
070RM,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
070RN,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
070RP,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
070RQ,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
070RR,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
070RT,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070RV,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070RW,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070RX,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070RY,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070T0,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070T1,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Death,7/22/2024,,,7/22/2024,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,7/22/2024,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070T2,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070T3,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070T4,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Transferred,4/28/2023,716B,B,7/11/2023,Culled for CWD Testing,716B,Post-mortem Obex and RLN,7/11/2023,Obex and RLN Not Detected,,,,
070T5,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Death,10/9/2023,,,10/9/2023,Pneumonia,10953B,Post-mortem Obex and RLN,10/9/2023,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070T6,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
070T7,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070T8,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070T9,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TB,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,Death,10/22/2024,,,10/22/2024,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,10/22/2024,Obex and RLN Not Detected,,,,
070TC,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TF,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TG,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TH,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,Death,5/9/2024,,,5/9/2024,Pneumonia,10953B,Post-mortem Obex and RLN,5/9/2024,Obex and RLN Not Detected,,,,
070TJ,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TK,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TL,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TM,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TN,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TP,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TQ,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TR,White-Tailed Deer,M,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TT,White-Tailed Deer,F,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TV,White-Tailed Deer,F,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
070TW,White-Tailed Deer,F,6/28/2023,Birth,6/28/2023,,Death,7/24/2024,,,7/24/2024,Pneumonia,10953B,Post-mortem Obex and RLN,7/24/2024,Obex and RLN Not Detected,,,,
0FE6,White-Tailed Deer,F,6/5/2019,Transferred,5/20/2020,16880B,Death,1/1/2023,,,1/1/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/6/2023,Obex and RLN Not Detected,,,,
0GAQ,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/6/2019,15660R,R,,,,,,,,,,
0GAR,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/7/2019,4992R,R,,,,,,,,,,
0GAT,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/9/2019,15660R,R,,,,,,,,,,
0GAV,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/3/2020,17923B,B,,,,,,,Ante-mortem Rectal,2/29/2024,17923B,Not detected
0GAW,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/6/2019,15660R,R,,,,,,,,,,
0GAX,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/6/2019,4992R,R,,,,,,,,,,
0GAY,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
0GBA,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,3/18/2018,4992R,R,,,,,,,,,,
0GCA,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/6/2019,15660R,R,,,,,,,,,,
0GFA,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Death,12/14/2018,,,12/14/2018,Natural Causes or Weather Related,10953B,Post-mortem Obex and RLN,2/28/2019,"Obex Location, RLN Not Detected",,,,
0GGA,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/6/2019,4992R,R,,,,,,,,,,
0GHA,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/9/2019,15660R,R,,,,,,,,,,
0GJA,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/7/2019,4992R,R,,,,,,,,,,
0GKA,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/6/2019,15660R,R,,,,,,,,,,
0GLA,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/6/2019,4992R,R,,,,,,,,,,
0GMA,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/6/2019,15660R,R,,,,,,,,,,
0GNA,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,12/10/2019,16250D,D,,,,,,,,,,
0GPA,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
0GQA,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,4/15/2023,15020R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
0GRA,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,3/14/2020,15020R,R,,,,,,,,,,
0GTA,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,4/13/2019,4810R,R,,,,,,,,,,
0GVA,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/18/2020,15660R,R,,,,,,,,,,
0GWA,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,2/19/2020,15660R,R,,,,,,,,,,
0GXA,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,3/18/2018,15020R,R,,,,,,,,,,
0GYA,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,3/25/2019,2577B,B,,,,,,,Ante-mortem Rectal,11/6/2023,2577B,Not detected
0H0A,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,2/11/2020,3608B,B,2/5/2024,Culled for CWD Testing,3608B,Post-mortem Obex and RLN,2/5/2024,Obex and RLN Not Detected,,,,
0H1A,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/18/2020,18841R,R,,,,,,,,,,
0H2A,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,4/13/2019,4810R,R,,,,,,,,,,
0H3A,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,4/13/2019,4810R,R,,,,,,,,,,
0H4A,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,11/2/2017,5216B,B,3/7/2018,Culled for CWD Testing,5216B,Post-mortem Obex and RLN,3/7/2018,Obex and RLN Not Detected,,,,
0H5A,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,2/7/2020,14583B,B,,,,,,,,,,
0H6A,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
0H7A,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,3/26/2022,15020R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
0H8A,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,3/26/2018,5070B,B,,,,,,,,,,
0H9A,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Death,3/30/2022,,,3/30/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/30/2022,Obex and RLN Not Detected,,,,
0HA0,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,3/18/2018,4992R,R,,,,,,,,,,
0HA1,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,9/18/2020,15660R,R,,,,,,,,,,
0HA2,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Death,10/18/2024,,,10/18/2024,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,10/18/2024,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
0HA3,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,4/16/2019,5216B,B,8/15/2023,Culled for CWD Testing,16601R,Post-mortem Obex and RLN,8/15/2023,Obex and RLN Not Detected,,,,
0HA4,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,3/18/2018,4992R,R,,,,,,,,,,
0HA5,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Death,11/13/2018,,,11/13/2018,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,2/28/2019,"Obex Location, RLN Not Detected",,,,
0HA6,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,Transferred,4/15/2023,15020R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
0HA7,White-Tailed Deer,F,6/6/2016,Birth,6/6/2016,,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
0HA8,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Death,8/10/2018,,,8/10/2018,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,2/28/2019,"Obex Location, RLN Not Detected",,,,
0HA9,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/6/2019,4992R,R,,,,,,,,,,
0HAA,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/7/2019,4992R,R,,,,,,,,,,
0HAB,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/6/2019,15660R,R,,,,,,,,,,
0HAC,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Death,1/26/2018,,,1/26/2018,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/26/2018,Obex and RLN Not Detected,,,,
0HAF,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/6/2019,15660R,R,,,,,,,,,,
0HAG,White-Tailed Deer,M,6/6/2016,Birth,6/6/2016,,Transferred,9/9/2019,15660R,R,,,,,,,,,,
0V1E,White-Tailed Deer,F,5/29/2019,Transferred,1/24/2020,2557B,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
21E4,White-Tailed Deer,F,6/4/2019,Transferred,10/8/2019,13788B,Death,11/22/2019,,,11/22/2019,Pneumonia,10953B,,,,,,,
3CA4,White-Tailed Deer,F,7/1/2017,Transferred,11/1/2018,1498B,Transferred,4/9/2020,1498B,B,10/5/2023,Culled for CWD Testing,20363B,Post-mortem Obex and RLN,10/5/2023,Obex and RLN Not Detected,Ante-mortem Tonsil,4/4/2022,1498B,Not detected
3CA9,White-Tailed Deer,F,7/1/2017,Transferred,3/8/2018,1498B,Death,11/13/2018,,,11/13/2018,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,2/28/2019,Obex and RLN Not Detected,,,,
3EPF,White-Tailed Deer,F,6/30/2019,Transferred,10/8/2019,13788B,Death,1/16/2020,,,1/16/2020,Pneumonia,10953B,,,,,,,
4NEL,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,4/29/2021,5070B,B,8/6/2023,Culled for CWD Testing,713B,Post-mortem Obex and RLN,8/7/2023,Obex and RLN Not Detected,,,,
4NEN,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Death,6/7/2022,,,6/7/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,6/16/2022,Obex and RLN Not Detected,,,,
4NEP,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
4NEQ,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Death,6/27/2021,,,6/27/2021,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,6/28/2021,Obex and RLN Not Detected,,,,
4NER,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,3/23/2021,15660R,R,,,,,,,,,,
4NEX,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,3/23/2021,15660R,R,,,,,,,,,,
4NFE,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/3/2022,20349R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
4NGE,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/9/2022,20487R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
4NHE,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/9/2022,21469R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
4NLE,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/3/2022,20349R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
4NME,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/14/2022,17903R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
4NNE,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/9/2022,20487R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
4NPE,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/9/2022,20487R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
4NTE,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/16/2022,1091B,B,8/13/2023,Other Disease or Infection,1091B,Post-mortem Obex and RLN,8/14/2023,Obex and RLN Not Detected,Ante-mortem Rectal,3/2/2022,10953B,Not detected
4NVE,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/3/2022,20349R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
4NXE,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/9/2022,4992R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
4P0E,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,4/14/2022,17236B,B,11/5/2023,Culled for CWD Testing,17236B,Post-mortem Obex and RLN,11/6/2023,Obex and RLN Not Detected,,,,
4P1E,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,4/15/2023,23009R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
4XXA,White-Tailed Deer,F,6/13/2017,Transferred,10/10/2018,1427B,Transferred,4/9/2020,17923B,B,7/17/2023,Culled for CWD Testing,17923B,Post-mortem Obex and RLN,7/18/2023,Obex and RLN Not Detected,,,,
4Y1A,White-Tailed Deer,F,6/13/2017,Transferred,10/10/2018,1427B,Transferred,4/9/2020,17923B,B,7/17/2023,Culled for CWD Testing,17923B,Post-mortem Obex and RLN,7/18/2023,Obex and RLN Not Detected,,,,
500A,White-Tailed Deer,F,6/26/2017,Transferred,5/10/2019,1427B,Transferred,2/19/2020,15660R,R,,,,,,,,,,
50A2,White-Tailed Deer,F,7/5/2017,Transferred,10/10/2018,1427B,Transferred,4/9/2020,17923B,B,7/17/2023,Culled for CWD Testing,17923B,Post-mortem Obex and RLN,7/18/2023,Obex and RLN Not Detected,,,,
5G20,White-Tailed Deer,F,6/16/2009,Transferred,4/10/2015,1427B,Transferred,3/28/2022,20487R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
5W4E,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,11/7/2020,19242D,D,,,,,,,,,,
5W6E,White-Tailed Deer,F,6/28/2019,Birth,6/28/2019,,Transferred,3/24/2020,2577B,B,,,,,,,Ante-mortem Rectal,11/3/2022,2577B,Not detected
5W8E,White-Tailed Deer,F,6/28/2019,Birth,6/28/2019,,Transferred,3/24/2020,2577B,B,9/12/2023,Culled for CWD Testing,20026B,Post-mortem Obex and RLN,9/12/2023,Obex and RLN Not Detected,,,,
5XPA,White-Tailed Deer,F,6/20/2017,Transferred,3/25/2020,4881B,Transferred,3/23/2021,15660R,R,,,,,,,,,,
5XYA,White-Tailed Deer,F,6/20/2017,Transferred,3/14/2019,4881B,Transferred,3/26/2022,15020R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
7ANN,White-Tailed Deer,F,7/9/2017,Transferred,10/19/2019,2577B,Transferred,11/7/2020,19242D,D,,,,,,,,,,
7B4H,White-Tailed Deer,F,5/1/2007,Transferred,5/8/2018,2577B,Death,1/23/2023,,,1/23/2023,Pneumonia,10953B,Post-mortem Obex and RLN,1/24/2023,Obex and RLN Not Detected,,,,
95A9,White-Tailed Deer,F,6/9/2017,Transferred,4/3/2019,13788B,Transferred,4/1/2023,17781B,B,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
96AM,White-Tailed Deer,F,6/9/2017,Transferred,4/3/2019,13788B,Death,9/27/2023,,,9/27/2023,Pneumonia,10953B,Post-mortem Obex and RLN,9/27/2023,Obex and RLN Not Detected,Ante-mortem Rectal,2/3/2023,10953B,Not detected
96AQ,White-Tailed Deer,F,6/9/2017,Transferred,4/3/2019,13788B,Death,1/1/2023,,,1/1/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/6/2023,Obex and RLN Not Detected,Ante-mortem Rectal,3/2/2022,10953B,Not detected
97WA,White-Tailed Deer,M,6/9/2017,Transferred,10/8/2019,13788B,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
993A,White-Tailed Deer,F,6/10/2017,Transferred,10/8/2019,13788B,Death,11/21/2019,,,11/21/2019,Pneumonia,10953B,Post-mortem Obex and RLN,11/30/2019,Obex and RLN Not Detected,,,,
9NCW,White-Tailed Deer,F,7/1/2008,Transferred,4/10/2015,1427B,Death,4/1/2016,,,4/1/2016,Accidental Death or Injury,10953B,,,,,,,
A2VP,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/18/2020,18841R,R,,,,,,,,,,
A2VQ,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,11/7/2020,19242D,D,,,,,,,,,,
A2VR,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,3/8/2019,13469R,R,,,,,,,,,,
A2VT,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/18/2020,15660R,R,,,,,,,,,,
A2VV,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Death,12/12/2019,,,12/12/2019,Natural Causes or Weather Related,10953B,Post-mortem Obex and RLN,12/30/2019,"Obex Location, RLN Not Detected",,,,
A2VW,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/19/2020,15020R,R,,,,,,,,,,
