UNIQUE_NUMBER,Years_Present,TESTING_DATE
04967,2023,7/26/2024
04967,2024,7/26/2024
04968,2022,9/27/2023
04968,2023,9/27/2023
04968,2024,9/27/2023
04969,2021,12/19/2023
04969,2022,12/19/2023
0496B,2021,2/3/2023
0496B,2022,2/3/2023
0496B,2023,2/3/2023
0496C,2021,2/3/2023
0496C,2022,2/3/2023
0496C,2023,2/3/2023
0496F,2021,3/9/2023
0496F,2022,3/9/2023
0496F,2023,3/9/2023
0496G,2021,11/30/2022
0496G,2022,11/30/2022
0496H,2021,2/3/2023
0496H,2022,2/3/2023
0496J,2021,9/27/2023
0496J,2022,9/27/2023
0496J,2023,9/27/2023
0496J,2024,9/27/2023
0496K,2023,NA
0496K,2024,NA
0496L,2022,10/6/2023
0496L,2023,10/6/2023
0496L,2024,10/6/2023
0496M,2021,NA
0496M,2022,NA
0496M,2023,NA
0496N,2023,NA
0496N,2024,NA
0496P,2021,11/30/2022
0496P,2022,11/30/2022
0496Q,2022,10/6/2023
0496Q,2023,10/6/2023
0496Q,2024,10/6/2023
0496R,2021,10/6/2023
0496R,2022,10/6/2023
0496R,2023,10/6/2023
0496R,2024,10/6/2023
0496T,2021,9/27/2023
0496T,2022,9/27/2023
0496T,2023,9/27/2023
0496T,2024,9/27/2023
0496V,2021,1/6/2023
0496V,2022,1/6/2023
0496W,2022,10/6/2023
0496W,2023,10/6/2023
0496W,2024,10/6/2023
0496X,2022,9/27/2023
0496X,2023,9/27/2023
0496X,2024,9/27/2023
0496Y,2021,7/26/2024
0496Y,2022,7/26/2024
0496Y,2023,7/26/2024
0496Y,2024,7/26/2024
04970,2022,9/27/2023
04970,2023,9/27/2023
04970,2024,9/27/2023
04971,2021,7/26/2024
04971,2022,7/26/2024
04971,2023,7/26/2024
04971,2024,7/26/2024
04972,2021,7/26/2024
04972,2022,7/26/2024
04972,2023,7/26/2024
04972,2024,7/26/2024
04973,2022,9/27/2023
04973,2023,9/27/2023
04973,2024,9/27/2023
04974,2021,9/27/2023
04974,2022,9/27/2023
04974,2023,9/27/2023
04974,2024,9/27/2023
04975,2023,10/21/2024
04975,2024,10/21/2024
04976,2021,9/27/2023
04976,2022,9/27/2023
04976,2023,9/27/2023
04976,2024,9/27/2023
04977,2021,3/8/2023
04977,2022,3/8/2023
04978,2021,9/27/2023
04978,2022,9/27/2023
04978,2023,9/27/2023
04978,2024,9/27/2023
04979,2021,1/6/2023
04979,2022,1/6/2023
0497B,2021,9/27/2023
0497B,2022,9/27/2023
0497B,2023,9/27/2023
0497B,2024,9/27/2023
0497C,2021,9/27/2023
0497C,2022,9/27/2023
0497C,2023,9/27/2023
0497C,2024,9/27/2023
04C16,2021,9/27/2023
04C16,2022,9/27/2023
04C16,2023,9/27/2023
04C16,2024,9/27/2023
04K7H,2021,1/6/2023
04K7H,2022,1/6/2023
062G7,2023,10/6/2023
062G7,2024,10/6/2023
062GB,2023,9/14/2023
070R4,2022,10/9/2023
070R4,2023,10/9/2023
070R5,2022,10/6/2023
070R5,2023,10/6/2023
070R5,2024,10/6/2023
070R6,2022,9/27/2023
070R6,2023,9/27/2023
070R6,2024,9/27/2023
070R7,2022,10/6/2023
070R7,2023,10/6/2023
070R7,2024,10/6/2023
070R8,2022,10/6/2023
070R8,2023,10/6/2023
070R8,2024,10/6/2023
070R9,2022,12/11/2023
070R9,2023,12/11/2023
070RB,2022,10/6/2023
070RB,2023,10/6/2023
070RB,2024,10/6/2023
070RC,2022,10/6/2023
070RC,2023,10/6/2023
070RC,2024,10/6/2023
070RF,2022,10/6/2023
070RF,2023,10/6/2023
070RF,2024,10/6/2023
070RG,2022,10/6/2023
070RG,2023,10/6/2023
070RG,2024,10/6/2023
070RH,2022,10/6/2023
070RH,2023,10/6/2023
070RH,2024,10/6/2023
070RJ,2022,9/27/2023
070RJ,2023,9/27/2023
070RJ,2024,9/27/2023
070RK,2022,9/27/2023
070RK,2023,9/27/2023
070RK,2024,9/27/2023
070RL,2022,9/27/2023
070RL,2023,9/27/2023
070RL,2024,9/27/2023
070RM,2022,9/27/2023
070RM,2023,9/27/2023
070RM,2024,9/27/2023
070RN,2022,9/27/2023
070RN,2023,9/27/2023
070RN,2024,9/27/2023
070RP,2022,9/27/2023
070RP,2023,9/27/2023
070RP,2024,9/27/2023
070RQ,2022,9/27/2023
070RQ,2023,9/27/2023
070RQ,2024,9/27/2023
070RR,2022,9/27/2023
070RR,2023,9/27/2023
070RR,2024,9/27/2023
070RT,2022,10/6/2023
070RT,2023,10/6/2023
070RT,2024,10/6/2023
070RV,2022,10/6/2023
070RV,2023,10/6/2023
070RV,2024,10/6/2023
070RW,2022,10/6/2023
070RW,2023,10/6/2023
070RW,2024,10/6/2023
070RX,2022,10/6/2023
070RX,2023,10/6/2023
070RX,2024,10/6/2023
070RY,2022,10/6/2023
070RY,2023,10/6/2023
070RY,2024,10/6/2023
070T0,2022,10/6/2023
070T0,2023,10/6/2023
070T0,2024,10/6/2023
070T1,2022,7/22/2024
070T1,2023,7/22/2024
070T1,2024,7/22/2024
070T2,2022,10/6/2023
070T2,2023,10/6/2023
070T2,2024,10/6/2023
070T3,2022,10/6/2023
070T3,2023,10/6/2023
070T3,2024,10/6/2023
070T4,2022,7/11/2023
070T4,2023,7/11/2023
070T5,2022,10/9/2023
070T5,2023,10/9/2023
070T6,2022,10/6/2023
